title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
Software Engineer,software engineer,Estimated $90.9K - $115K a year,"J&J Ventures, Gaming LLC","j&j ventures, gaming llc",4.2,"Effingham, IL 62401","Effingham, IL"
Software Developer - Java,software developer - java,Estimated $90.1K - $114K a year,Uline,uline,3.1,"Pleasant Prairie, WI 53158
+6 locations","Pleasant Prairie, WI"
Software Engineer,software engineer,Estimated $60.8K - $77K a year,"THE TIRE RACK, INC","the tire rack, inc",3.6,"South Bend, IN 46628","South Bend, IN"
Junior Software Developer,junior software developer,NaN,Vetro Tech Inc,vetro tech inc,NaN,"Remote in San Francisco, CA",remote
Senior Software Engineer,senior software engineer,NaN,Confidential,confidential,NaN,"Hybrid remote in Orem, UT 84604
+4 locations","Hybrid remote in Orem, UT 84604
+4 locations"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Principal Software Engineer,principal software engineer,NaN,Lowes Pro Supply,lowes pro supply,3.5,"+2 locations
Remote",remote
Senior Software Engineer (ACIST),senior software engineer (acist),Estimated $109K - $137K a year,CRL Technologies,crl technologies,4.2,"Lexington Park, MD 20653","Lexington Park, MD"
Frontend Engineer,frontend engineer,NaN,Blockchain Talents,blockchain talents,NaN,"+5 locations
Remote",remote
Software Engineer Any Level (C2C ONLY),software engineer any level (c2c only),NaN,IBG Software,ibg software,NaN,Remote,remote
Software Engineer II,software engineer ii,Estimated $79.7K - $101K a year,Farm Credit Financial Partners,farm credit financial partners,NaN,"Hybrid remote in Springfield, MA 01103","Hybrid remote in Springfield, MA 01103"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Automation/Robotics Engineer,automation/robotics engineer,Estimated $90.6K - $115K a year,Jabil Circuit,jabil circuit,3.9,"Saint Petersburg, FL 33716","Saint Petersburg, FL"
Software Engineer All Levels,software engineer all levels,NaN,Squadra Technologies Services,squadra technologies services,NaN,Remote,remote
Software Engineer,software engineer,NaN,OrthoGrid Systems Inc.,orthogrid systems inc.,NaN,"Midvale, UT 84047","Midvale, UT"
Remote Software Engineer 1,remote software engineer 1,Estimated $82.8K - $105K a year,Jacobs,jacobs,3.9,"Remote in Hudson, NH 03051
+21 locations",remote
"Industrial Software Engineer
new","industrial software engineer
new",NaN,"JENSEN USA, Inc.","jensen usa, inc.",NaN,"Panama City, FL 32405","Panama City, FL"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Java Developer,java developer,NaN,Uline,uline,3.1,"Pleasant Prairie, WI 53158","Pleasant Prairie, WI"
Android Software Engineer,android software engineer,NaN,Privoro,privoro,NaN,"Phoenix, AZ 85044 
(Ahwatukee Foothills area)","Phoenix, AZ"
Software Engineer,software engineer,NaN,"General Dynamics Mission Systems, Inc","general dynamics mission systems, inc",3.7,"Hybrid remote in Bloomington, MN 55431
+10 locations","Hybrid remote in Bloomington, MN 55431
+10 locations"
Software Engineer,software engineer,Estimated $65.2K - $82.6K a year,Boingo,boingo,3.6,"Frisco, TX","Frisco, TX"
Senior Mechatronics Software Engineer (Controls),senior mechatronics software engineer (controls),NaN,Berkshire Grey,berkshire grey,NaN,"Bedford, MA 01730","Bedford, MA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Frontend Engineer Apprenticeship,frontend engineer apprenticeship,Estimated $91.3K - $116K a year,Fetch,fetch,3.3,"Madison, WI 53703 
(Capitol area)
+1 location","Madison, WI"
Junior Software Developer,junior software developer,NaN,KesarWeb,kesarweb,NaN,"Remote in Baltimore, MD",remote
Software Engineer,software engineer,Estimated $115K - $146K a year,Elder Research Inc,elder research inc,NaN,"Fort Meade, MD 20755
+6 locations","Fort Meade, MD"
